name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
10022,2024-01-01T00:00:00,43.1,39.4,26.9,52.6,0,0,,0,0,8.5,6.1,258,1015.8,99.2,9.9,0,0,0,10,Overcast,cloudy,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T01:00:00,42.2,37.8,27,54.67,0,0,rain,0,0,10.1,6.9,258,1015.6,100,9.9,0,0,0,10,Overcast,cloudy,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T02:00:00,42.2,39,28.1,57.09,0,0,,0,0,11.2,5,270,1015.5,100,9.9,0,0,0,10,Overcast,cloudy,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T03:00:00,41,41,28.2,59.93,0,0,rain,0,0,9.8,0.8,348,1015.5,100,9.9,0,0,0,10,Overcast,cloudy,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T04:00:00,41,38.9,29.1,62.18,0,0,rain,0,0,8.1,3.6,253,1015,99.8,9.9,0,0,0,10,Overcast,cloudy,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T05:00:00,40,40,29.9,66.97,0,0,rain,0,0,6.7,0.4,344,1015.2,89.7,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T06:00:00,41,37.7,30,64.51,0,0,rain,0,0,6.3,4.9,290,1015.6,100,9.9,0,0,0,10,Overcast,cloudy,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T07:00:00,39.1,36.6,33,78.68,0.011,100,rain,0,0,5.6,3.6,292,1016,100,7.1,0,0,0,10,"Rain, Overcast",rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T08:00:00,39,36.8,33.9,81.89,0.012,100,rain,0,0,5.4,3.4,240,1016.4,100,8.8,11,0,0,10,"Rain, Overcast",rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T09:00:00,39.8,37.7,34,79.54,0.004,100,rain,0,0,6,3.4,333,1016.9,100,9.9,70,0.3,1,10,"Rain, Overcast",rain,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T10:00:00,41,38.9,33.2,73.6,0,0,,0,0,6.7,3.6,360,1017.1,99.2,9.9,258,0.9,3,10,Overcast,cloudy,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T11:00:00,43.1,41.9,33.2,67.77,0,0,,0,0,6.7,3,75,1016.7,51.9,9.9,367,1.3,4,10,Partially cloudy,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T12:00:00,45,43.9,32.1,60.45,0,0,,0,0,6,3,0,1016,7,9.9,464,1.7,5,10,Clear,clear-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T13:00:00,46,44.9,31.9,57.49,0,0,,0,0,4.9,3.3,307,1015.7,88,9.9,239,0.9,2,10,Partially cloudy,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T14:00:00,45,45,29.9,55.33,0,0,,0,0,6.7,0.5,355,1015.7,88.9,9.9,234,0.8,2,10,Partially cloudy,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T15:00:00,46.1,44.8,29.9,53.11,0,0,,0,0,5.4,3.5,48,1016.1,99,9.9,60,0.2,1,10,Overcast,cloudy,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
10022,2024-01-01T16:00:00,46,44.6,29.9,53.16,0,0,,0,0,4,3.7,52,1016.4,99.2,9.9,12,0,0,10,Overcast,cloudy,"72502594741,72505394728,KTEB,KLGA,F1417,KNYC,72503014732"
